"name","categery","doJOZc","Address","contact"
"UTTAM TYRES, Market Yard - Ahmednagar","Tire shop","","MAHATMA PHULE CHOWK, Market Yard Rd","094046 72721"
"Maruti Suzuki ARENA (Kankariya Automobiles, MIDC ,Ahilyanagar)","Car dealer","","·","080 6251 3280"
"Maruti Suzuki Service (Mahalaxmi Automotive)","Auto repair shop","","·","089569 16841"
"Car Connect","Auto Accessories Store","","4P4V+HQ4 Kotak Bank, Savedi Rd, near to Oberoi Hotel",""
"YASH AUTOMOBILES","Two Wheeler Dealer","","Ahmednagar - Aurangabad Rd, opp. Income Tax Office","080 6922 9714"
"Tata Motors Ahmednagar Sinare Automotive","Motor vehicle dealer","","·","070206 94189"
"Shubhyan Auto Pvt.Ltd.","Motor vehicle dealer","","·","0241 277 8114"
"Bagwan Automobiles","Auto parts store","","Kanda market, Kedgaon, Pune By pass, road",""
"Life style car seat cover and car decor","Real Estate Builders & Construction Company","","Shop 9","084467 00014"
"Royal Enfield Showroom - Newaskar Automobiles","Motorcycle shop","","·","096197 52860"
"Moto Fusion","Motorcycle parts store","","","098813 13233"
"Yashwant Auto Pvt Ltd","Truck dealer","","Plot No. 238, 239, SH 60, Ahmednagar - Aurangabad Rd","0241 272 6025"
"GM Auto Parts","Wholesaler","","Krishna Enclave, RTO Office Rd","090289 14455"
"Shree Swami Samarth Automobiles And Services,Two wheeler spare parts And Engine Oil Wholesaler","Auto parts store","","Near Aathre Patil Public School, Shewale Mala, Aathre Patil Wadgaon road, Shewale Mala, Gavhane Mala,Savedi",""
"World of Hero Honda","Auto parts store","","opp. Rang Bhavan","072760 01570"
"Khatri motors","Auto tune up service","","7/8, Nirmal Chambers, Laltaki Road, opp. HDFC Bank","099601 34242"
"Pipada Kia - Ahilyanagar - Kia Showroom","Kia dealer","","·","088798 74232"
"MRF Tyres Musclezone - Shanikrupa Tyres","Tire shop","","·","094771 51515"
"Volkswagen Ahilyanagar - Showroom","Volkswagen dealer","","·",""
"Shivraj Car Sajwat","Car stereo store","","4PGG+H9R, Kopargaon - Shirdi - Ahilyanagar - Pune Hwy",""
"DSK Gloves","Manufacturer","","·","094215 92479"
"TVS - Bhansali Enterprises","Two Wheeler Dealer","","·","076201 58523"
"Renault Ahmednagar","Auto Accessories Store","","Plot No. E-4,Nagar-Manmad Road, MIDC, opposite Hotel Raj Regency","092253 25603"
"Rironsi Honda","Two Wheeler Dealer","","·","0241 242 2770"
"BJ Car Decor","Auto Accessories Store","","·","093721 44701"
"Kankariya Automobiles Pvt Ltd - Maruti - Service","Car repair and maintenance service","","","094200 36767"
